Yard code ,Date ,Start Time,End Time,Temperature (°C),Cloud Cover code,Beaufort scale ,Day of Week ,Species ,Bird Scientific Name ,Behaviour,Time of Observation,Plant species,Scientific Name ,DBH (cm),Notes,
Y03 ,15/05/2024,7:03,7:23,13,4,3,Wednesday,HOSP,Passer domesticus,Hop,7:16,Beauty bush,Kolkwitzia amabilis,15,"Lots of birds in adjacent yards, challenging to observe hedges. Heard TEWA, BTNW, AMRO, SOSP.",
Y03 ,15/05/2024,7:03,7:23,13,4,3,Wednesday,EWPE,Contopus virens,Sally,7:20,Burning bush,Euonymus alatus,2,Many small stems ,
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,HOSP,Passer domesticus,Vocalize ,8:20,Manitoba maple,Acer negundo ,42,"Loud construction across the street, plane, chimney swifts above ",
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,EUST,Sturnus vulgaris,Peck,8:21,Manitoba maple,Acer negundo ,42,,
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,HOSP,Passer domesticus,Vocalize ,9:23,Manitoba maple,Acer negundo ,30,,
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,LEFL,Empidonax minimus,Sally ,8:24,Manitoba maple,Acer negundo ,42,,
Y33,15/05/2024,8:09,8:29,13,4,3,Wednesday,AMRO,Turdus migratorius ,Vocalize ,8:26,Manitoba maple,Acer negundo ,30,,
Y45,15/05/2024,9:03,9:23,13,4,3,Wednesday,HOSP,Passer domesticus,Perch ,9:13,Canada yew,Taxus canadensis,30,"Construction heard, birds galore in adjacent yards (hermit thrush, NOCA, SWTH, GRCA, CMWA) ",
Y45,15/05/2024,9:03,9:23,13,4,3,Wednesday,HOSP,Passer domesticus,Vocalize ,9:14,Canada yew,Taxus canadensis,14,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,NOCA,Cardinalis cardinalis,Vocalize,7:15,Norway spruce ,Picea abies,49,"Clouds cover washed out the colour of the birds; birds were missed. Merlin recorded SOSP, HOSP, NOCA, AMRO, BCCH, AMGO, HOFI, YRWA, CSWA, SWTH.",
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,AMGO,Spinus tristis,Vocalize,7:16,Norway spruce ,Picea abies,30,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,AMGO,Spinus tristis,Perch,7:16,Norway spruce ,Picea abies,30,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,CHSP,Spizella passerina,Vocalize,7:18,White ash,Faxinus americana,60,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,WAVI,Vireo gilvus,Reach,7:19,White ash,Faxinus americana,60,"Description: white underside, long black-tipped white tail, white cheek, eyeline, longish beak (slightly hooked), somewhat blueish upperparts, horizontal posture, head rotation and tail flicking, larger than a warbler",
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,WAVI,Vireo gilvus,Glean,7:19,White ash,Faxinus americana,60,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,WAVI,Vireo gilvus,Sally,7:19,White ash,Faxinus americana,60,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,WAVI,Vireo gilvus,Sally,7:19,White ash,Faxinus americana,60,Mating pair,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,WAVI,Vireo gilvus,Reach,7:19,White ash,Faxinus americana,60,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,WAVI,Vireo gilvus,Glean,7:19,White ash,Faxinus americana,60,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,CSWA,Setophaga pensylvanica,Vocalize,7:20,White ash,Faxinus americana,60,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,CSWA,Setophaga pensylvanica,Glean,7:20,White ash,Faxinus americana,60,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,NOCA,Cardinalis cardinalis,Ground forage,7:21,European crab apple,Malus sylvestris,35,Male,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,NOCA,Cardinalis cardinalis,Perch,7:21,European crab apple,Malus sylvestris,35,Female,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,WIWA,Cardellina pusilla,Vocalize,7:22,European crab apple,Malus sylvestris,35,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,SWTH,Catharus ustulatus,Peck,7:23,Ground,NA,NA,,
Y18,16/05/2024,7:04,7:26,13,4,3,Thursday,SWTH,Catharus ustulatus,Perch,7:23,European crab apple,Malus sylvestris,35,,
Y04,16/05/2024,8:16,8:37,13,4,3,Thursday,,,,,,,,"Mama robin incubating (nest is on fixture attached to house), large Norway maple on property (dense canopy), very loud RBNU in front. Homeowner very interested in results",
Y26,17/05/2024,8:38,8:58,17,4,2,Friday ,EUST,Sturnus vulgaris,Perch,8:40,Dead standing ,NA,20,"Manitoba maple 'hedge' flanking right side of the yard, house cat passed through the yard. Saw LEFL in neighbour's large silver maple.",
Y26,17/05/2024,8:38,8:58,17,4,2,Friday ,EUST,Sturnus vulgaris,Perch,8:44,Dead standing ,NA,20,,
Y26,17/05/2024,8:38,8:58,17,4,2,Friday ,EUST,Sturnus vulgaris,Vocalize,8:46,Dead standing ,NA,20,,
Y26,17/05/2024,8:38,8:58,17,4,2,Friday ,EUST,Sturnus vulgaris,Preen,8:46,Dead standing ,NA,20,,
Y26,17/05/2024,8:38,8:58,17,4,2,Friday ,NOCA,Cardinalis cardinalis ,Vocalize ,8:50,Dead standing ,NA,20,,
Y13,17/05/2024,9:15,9:35,17,4,2,Friday ,HOSP,Passer domesticus,Vocalize ,9:20,Lily magnolia,Magnolia liliiflora,15,"No hedges, including cedars",
Y13,17/05/2024,9:15,9:35,17,4,2,Friday ,HOSP,Passer domesticus,Vocalize ,9:20,Lily magnolia,Magnolia liliiflora,15,,
Y13,17/05/2024,9:15,9:35,17,4,2,Friday ,HOSP,Passer domesticus,Vocalize ,9:20,Lily magnolia,Magnolia liliiflora,15,,
Y13,17/05/2024,9:15,9:35,17,4,2,Friday ,HOSP ,Passer domesticus,Glean ,9:22,Norway spruce ,Picea abies,15,,
Y13,17/05/2024,9:15,9:35,17,4,2,Friday ,HOSP,Passer domesticus,Glean ,9:24,Burning bush ,Euonymus alatus,1,,
Y13,17/05/2024,9:15,9:35,17,4,2,Friday ,AMRO,Turdus migratorius,Bathing ,9:28,Bird bath ,NA,NA,,
Y13,17/05/2024,9:15,9:35,17,4,2,Friday ,MODO,Zenaida macroura,Perch ,9:30,Silver maple,Acer saccharinum,140,,
